
Start_ns, stop_ns,  spent_ns
53239553, 54137268, 897715
54441420, 55167681, 726261
55351703, 56007784, 656081
56185978, 56833372, 647394
57012022, 57913732, 901710
58098211, 58778064, 679853
58956485, 59598618, 642133
59776011, 60423174, 647163
60601023, 61247957, 646934
61426150, 62326936, 900786
62508899, 63152970, 644071
63330018, 63978776, 648758
64378934, 65033063, 654129
65211597, 66281195, 1069598
66410465, 66929375, 518910
67046645, 67515721, 469076
67632876, 68105267, 472391
68222307, 68693669, 471362
68810938, 69108569, 297631
69428944, 70084895, 655951
70212450, 70692611, 480161
70809879, 71279982, 470103
71396680, 71865640, 468960
71983251, 72441467, 458216
72556793, 73024381, 467588
73142107, 73769366, 627259
73893720, 74387478, 493758
74505317, 74972330, 467013
75089140, 75558096, 468956
75675250, 76138834, 463584
76255987, 76721514, 465527
76838782, 77302366, 463584
77455865, 78285651, 829786
78415947, 78924333, 508386
79040686, 79334540, 293854
79649309, 80117006, 467697
80238045, 80708942, 470897
80826094, 81298020, 471926
81415059, 82072824, 657765
82196948, 82671041, 474093
82788650, 83256914, 468264
83373952, 83841530, 467578
83958568, 84422146, 463578
84539869, 85011105, 471236
85127914, 85757903, 629989
85883284, 86367890, 484606
86485156, 86947360, 462204
87062797, 87530602, 467805
87647982, 88116816, 468834
88234310, 88699715, 465405
88816409, 89286157, 469748
89404223, 90244196, 839973
90374724, 90887693, 512969
91005305, 91478613, 473308
91595425, 92070333, 474908
92187602, 92652680, 465078
92769607, 93239257, 469650
93356526, 94017058, 660532
94141644, 94440878, 299234
94543176, 95159246, 616070
95276746, 95747314, 470568
95864470, 96333209, 468739
96451166, 96915105, 463939
97031804, 97655418, 623614
97780460, 98281658, 501198
98400414, 98872580, 472166
98989279, 99458245, 468966
99575401, 100037166, 461765
100154436, 100621916, 467480
100737701, 101207238, 469537
101324851, 102155909, 831058
102287694, 102801232, 513538
102918616, 103385977, 467361
103506104, 103803048, 296944
104087649, 104548839, 461190
104664965, 105128898, 463933
105246395, 105891712, 645317
106017094, 106498277, 481183
106616002, 107087013, 471011
107205423, 107669691, 464268
107787415, 108253397, 465982
108371122, 108834361, 463239
108952314, 109446984, 494670
109684603, 110207157, 522554
110324423, 110796459, 472036
110914182, 111384047, 469865
111502456, 111970949, 468493
112088786, 112545621, 456835
112661287, 113131266, 469979
113250246, 114026068, 775822
114155447, 114661877, 506430
114778341, 115247398, 469057
115366033, 115832004, 465971
115948925, 116414552, 465627
116532502, 117001901, 469399
117120537, 117754402, 633865
117880123, 118370436, 490313
118488385, 118952753, 464368
119070703, 119540100, 469397
119658392, 120121846, 463454
120239338, 120710678, 471340
120829199, 121299853, 470654
121417917, 122052233, 634316
122177496, 122638317, 460821
122755122, 123217315, 462193
123334235, 123807743, 473508
123925919, 124399541, 473622
124517261, 124981511, 464250
125099917, 125850816, 750899
125979624, 126509372, 529748
126628351, 127092838, 464487
127211359, 127507035, 295676
127795168, 128270512, 475344
128388691, 128849635, 460944
128965071, 129429786, 464715
129696088, 130218292, 522204
130335556, 130806328, 470772
130924849, 131393564, 468715
131511056, 131807189, 296133
132094749, 132560492, 465743
132678328, 133138013, 459685
133253906, 133887999, 634093
134013148, 134492945, 479797
134611237, 135085433, 474196
135203840, 135667864, 464024
135785585, 136251552, 465967
136369158, 136833868, 464710
136951246, 137414470, 463224
137793571, 138332676, 539105
138448566, 138917268, 468702
139036815, 139507918, 471103
139627236, 140099024, 471788
140219257, 140689102, 469845
140807507, 141279409, 471902
141398728, 142052582, 653854
142179444, 142648606, 469162
142767925, 143228629, 460704
143346233, 143816195, 469962
143934828, 144407419, 472591
144526623, 144823549, 296926
144927554, 145685985, 758431
145813419, 146309211, 495792
146428645, 146897807, 469162
147017241, 147489146, 471905
147608466, 148077057, 468591
148649652, 149224876, 575224
149351625, 150211408, 859783
150343409, 150854270, 510861
150970499, 151426274, 455775
151542161, 152010850, 468689
152128794, 152597369, 468575
152715199, 153187202, 472003
153305603, 153951433, 645830
154076690, 154556118, 479428
154674975, 155139204, 464229
155256689, 155726975, 470286
155844689, 156312117, 467428
156429831, 156900117, 470286
157018174, 157643429, 625255
157769600, 158098396, 328796
158392565, 158860789, 468224
158978731, 159441584, 462853
159559297, 160025007, 465710
160143406, 160613459, 470053
160731058, 161200425, 469367
161318252, 162135389, 817137
162267959, 162792298, 524339
162910697, 163379950, 469253
163500521, 163973888, 473367
164092287, 164564855, 472568
164682682, 165143593, 460911
165260963, 165902788, 641825
166028158, 166505298, 477140
166623240, 167093066, 469826
167211122, 167502663, 291541
167795347, 168268373, 473026
168386544, 168851912, 465368
168967797, 169433166, 465369
169693737, 170217394, 523657
170335565, 170806650, 471085
170924021, 171398306, 474285
171516248, 171984705, 468457
172102304, 172569732, 467428
172687903, 173145274, 457371
173261045, 174038190, 777145
174166876, 174674306, 507430
174792134, 175266307, 474173
175383907, 175854080, 470173
175971566, 176441738, 470172
176560139, 177028483, 468344
177146654, 177778314, 631660
177902657, 178390430, 487773
178508373, 178981631, 473258
179099460, 179566662, 467202
179684948, 180151577, 466629
180269978, 180731350, 461372
180848951, 181315009, 466058
181578211, 182101068, 522857
182223354, 182696383, 473029
182814897, 183283812, 468915
183401412, 183872612, 471200
183990212, 184454555, 464343
184572041, 185038441, 466400
185156727, 185913984, 757257
186041527, 186572155, 530628
186690670, 187155012, 464342
187270784, 187742098, 471314
187860726, 188326097, 465371
188443583, 188911697, 468114
189029640, 189661754, 632114
189787583, 190290783, 503200
190408611, 190878782, 470171
190996725, 191463353, 466628
191581296, 192042667, 461371
192159810, 192628496, 468686
192746324, 193209181, 462857
193326781, 193968267, 641486
194094667, 194390667, 296000
194693981, 195164495, 470514
195287466, 195753637, 466171
195871695, 196340609, 468914
196459694, 196929065, 469371
197047123, 197788608, 741485
197917294, 198445636, 528342
198562665, 199022893, 460228
199139808, 199608150, 468342
199726207, 200196264, 470057
200314664, 200777750, 463086
200895921, 201364378, 468457
201629293, 202149636, 520343
202272150, 202738893, 466743
202856721, 203328950, 472229
203447121, 203912835, 465714
204029407, 204497864, 468457
204616150, 205088264, 472114
205205064, 205833065, 628001
205958665, 206446322, 487657
206564722, 207036721, 471999
207155236, 207618207, 462971
207735807, 208029521, 293714
208132150, 209597065, 1464915
209732722, 210256836, 524114
210373179, 210847807, 474628
210966436, 211428721, 462285
211544607, 212005407, 460800
212122207, 212591807, 469600
212709293, 213180950, 471657
213299350, 214080264, 780914
214208836, 214719579, 510743
214837979, 215308150, 470171
215426093, 215896379, 470286
216014207, 216484721, 470514
216602778, 217070093, 467315
217188493, 217829750, 641257
217955007, 218438322, 483315
