
Start_ns, stop_ns,  spent_ns
693627430, 695323772, 1696342
695459657, 696683885, 1224228
696803770, 697916799, 1113029
698191199, 699301142, 1109943
699423657, 700536571, 1112914
700659542, 701768228, 1108686
701887656, 702985942, 1098286
703245714, 704628799, 1383085
704757714, 705878171, 1120457
705997599, 707273485, 1275886
707396685, 708512914, 1116229
708636114, 709737142, 1101028
709857142, 710965142, 1108000
711226628, 712360799, 1134171
712483657, 713595428, 1111771
713714628, 714803999, 1089371
714920914, 716182057, 1261143
716304342, 717428914, 1124572
717551428, 718652228, 1100800
718769714, 719866971, 1097257
719984571, 721226628, 1242057
721349942, 722475428, 1125486
722598057, 723689828, 1091771
723807314, 724915085, 1107771
725186971, 726299771, 1112800
726421599, 727542171, 1120572
727665599, 728772456, 1106857
728892685, 729996114, 1103429
730254171, 731378514, 1124343
731501599, 732592914, 1091315
732710285, 733799428, 1089143
733916685, 735163428, 1246743
735287771, 736413371, 1125600
736535999, 737651999, 1116000
737769142, 738875999, 1106857
738995085, 740231885, 1236800
740354399, 741479542, 1125143
741602971, 742704342, 1101371
742823656, 743914056, 1090400
744180799, 745311999, 1131200
745434057, 746554171, 1120114
746672228, 747758742, 1086514
747876114, 749138171, 1262057
749262857, 750390857, 1128000
750513485, 751627656, 1114171
751746056, 752850742, 1104686
752969942, 754219542, 1249600
754342171, 755469942, 1127771
755593256, 756708571, 1115315
756828114, 757909828, 1081714
758176571, 759293714, 1117143
759417599, 760529714, 1112115
760652685, 761777942, 1125257
761897371, 762998628, 1101257
763258171, 764379999, 1121828
764502628, 765608571, 1105943
765725942, 766837485, 1111543
766956571, 768180114, 1223543
768303657, 769437142, 1133485
769559542, 770662399, 1102857
770780114, 771886056, 1105942
772005256, 773277714, 1272458
773400571, 774520342, 1119771
774644114, 775727885, 1083771
775845714, 776949142, 1103428
777210285, 778357942, 1147657
778480571, 779599885, 1119314
779717599, 780806971, 1089372
780923999, 782163771, 1239772
782287771, 783410742, 1122971
783533142, 784643999, 1110857
784761828, 785855885, 1094057
785972571, 787210971, 1238400
787333485, 788448914, 1115429
788572799, 789670171, 1097372
789788456, 790892342, 1103886
791011085, 792261257, 1250172
792383542, 793503199, 1119657
793625485, 794716571, 1091086
794836342, 795934171, 1097829
796202857, 797320571, 1117714
797443542, 798549714, 1106172
798667085, 799764114, 1097029
799884228, 800763085, 878857
