
Start_ns, stop_ns,  spent_ns
52417715, 53977027, 1559312
54255427, 55615084, 1359657
55736913, 57250172, 1513259
57375772, 58733600, 1357828
58855543, 60331886, 1476343
60457029, 61828571, 1371542
61950629, 63443086, 1492457
63568914, 64876229, 1307315
65146629, 66501715, 1355086
66626857, 67925600, 1298743
68203200, 69558057, 1354857
69681829, 70978971, 1297142
71250172, 72614400, 1364228
72736457, 74189258, 1452801
74317029, 75674857, 1357828
75795200, 77298286, 1503086
77423886, 78789943, 1366057
78912457, 80399086, 1486629
80525029, 81839771, 1314742
81962629, 83436115, 1473486
83561029, 84870629, 1309600
84992800, 86484915, 1492115
86610057, 87906743, 1296686
88189258, 89550743, 1361485
89674857, 90975429, 1300572
91244572, 92581257, 1336685
92703429, 94427772, 1724343
94555429, 95877714, 1322285
96000228, 97499772, 1499544
97625829, 98916800, 1290971
99199886, 100558400, 1358514
100682857, 102193143, 1510286
102319315, 103649257, 1329942
103770400, 105272686, 1502286
105399772, 106760343, 1360571
106882400, 108358515, 1476115
108484229, 109807429, 1323200
109930857, 111424000, 1493143
111551657, 112872000, 1320343
112994514, 114485029, 1490515
114610400, 115908343, 1297943
116194629, 117547657, 1353028
117673143, 118975200, 1302057
119246172, 120586972, 1340800
120709143, 122020686, 1311543
122290400, 123204000, 913600
123745943, 124706057, 960114
124827429, 127474857, 2647428
127605257, 128923429, 1318172
129206058, 130619886, 1413828
130742172, 132211315, 1469143
132337600, 133682857, 1345257
133805257, 135314400, 1509143
135441372, 136843429, 1402057
136965943, 138446172, 1480229
138573372, 139904000, 1330628
140187886, 141544457, 1356571
141668114, 143175772, 1507658
143305257, 144735314, 1430057
144857600, 146345143, 1487543
146471315, 147829029, 1357714
147951086, 149443429, 1492343
149569372, 150942171, 1372799
151223429, 152586743, 1363314
152710857, 154189372, 1478515
154315429, 155723200, 1407771
155845943, 157326515, 1480572
157452686, 158852914, 1400228
158975771, 160460915, 1485144
160586743, 161902743, 1316000
162189715, 163592000, 1402285
163716000, 165183200, 1467200
165310743, 166718514, 1407771
166841371, 168330629, 1489258
168456686, 169784000, 1327314
169905943, 171416457, 1510514
171543772, 172877257, 1333485
172999771, 174497829, 1498058
174623543, 175934971, 1311428
176214400, 177580000, 1365600
177704343, 179166858, 1462515
179294972, 180629486, 1334514
180752000, 182259658, 1507658
182386400, 183740800, 1354400
183862857, 185348572, 1485715
185476572, 186819657, 1343085
186942171, 188441829, 1499658
188569943, 189897257, 1327314
190019886, 191526629, 1506743
191652457, 193168115, 1515658
193297600, 194653943, 1356343
194775429, 196289257, 1513828
196415086, 197818057, 1402971
197940114, 199426972, 1486858
199553714, 200932571, 1378857
201212229, 202557257, 1345028
202681714, 203999086, 1317372
204294629, 205744800, 1450171
205867886, 207353372, 1485486
207480000, 208815314, 1335314
208938400, 210427086, 1488686
210553829, 211932000, 1378171
212207086, 213562972, 1355886
213687200, 215170858, 1483658
215297486, 216631200, 1333714
216753943, 218272572, 1518629
218398286, 219788914, 1390628
219911086, 221405600, 1494514
221532457, 222844800, 1312343
222968457, 224446286, 1477829
224572114, 225878057, 1305943
226001714, 227496229, 1494515
227622972, 228926171, 1303199
229201143, 230596457, 1395314
230720686, 232172115, 1451429
232300115, 233721143, 1421028
233844000, 235334400, 1490400
235461143, 236826286, 1365143
236948343, 238449029, 1500686
238574400, 239878286, 1303886
240001028, 241493829, 1492801
241618857, 242924571, 1305714
243202858, 244547086, 1344228
244674172, 245980000, 1305828
246254972, 247594172, 1339200
247718972, 249186858, 1467886
249315086, 250740343, 1425257
250863771, 252355315, 1491544
252483086, 253811200, 1328114
253934629, 255425486, 1490857
255552457, 256928457, 1376000
257210286, 258553714, 1343428
258678743, 260014171, 1335428
260284000, 261625372, 1341372
261748914, 263271657, 1522743
263398057, 264780343, 1382286
264903543, 266406515, 1502972
266534172, 267896571, 1362399
268751657, 270351315, 1599658
270479543, 271809714, 1330171
271932000, 273421600, 1489600
273548914, 274899429, 1350515
275175200, 276515429, 1340229
276641029, 277946057, 1305028
278229372, 279595886, 1366514
279718400, 281176229, 1457829
281305829, 282663314, 1357485
282785143, 284302400, 1517257
284428229, 285795429, 1367200
285918286, 287427429, 1509143
287555086, 288937143, 1382057
289220115, 290585943, 1365828
290710057, 292166058, 1456001
292293943, 293642743, 1348800
293765029, 295281372, 1516343
295407429, 296819771, 1412342
296942057, 298696686, 1754629
298818971, 300328000, 1509029
300454515, 301856343, 1401828
301978629, 303470972, 1492343
303599657, 304545486, 945829
304668229, 314385828, 9717599
314517257, 315916000, 1398743
316200115, 317609943, 1409828
317732000, 319255658, 1523658
319381372, 320740114, 1358742
320863314, 322349715, 1486401
322476000, 323809829, 1333829
323932800, 325421600, 1488800
325548800, 326874971, 1326171
326996914, 328482629, 1485715
328607886, 329913486, 1305600
330195772, 331544114, 1348342
331669143, 332979086, 1309943
333247886, 334606286, 1358400
334730857, 336247772, 1516915
336374515, 337754400, 1379885
337877029, 339369600, 1492571
339496115, 340824343, 1328228
340948000, 342438057, 1490057
342564914, 343891429, 1326515
344180915, 345523086, 1342171
345649714, 346947200, 1297486
347219886, 348579314, 1359428
348702857, 350023314, 1320457
350296000, 351646057, 1350057
351768914, 353274972, 1506058
353402172, 354761486, 1359314
354884000, 356383429, 1499429
356509714, 357836229, 1326515
357959886, 359440115, 1480229
359566972, 360877600, 1310628
361001143, 362491886, 1490743
362616800, 363954514, 1337714
364230172, 365578972, 1348800
365703429, 367169715, 1466286
367299429, 368634857, 1335428
368757257, 370267429, 1510172
370393372, 371750400, 1357028
371872343, 373366286, 1493943
373492343, 374820343, 1328000
374944114, 376432000, 1487886
376558972, 377937486, 1378514
378214972, 379577029, 1362057
379700800, 381162743, 1461943
381290972, 382642514, 1351542
382765486, 384282857, 1517371
384409257, 385806857, 1397600
385929486, 387423200, 1493714
387549943, 388921486, 1371543
389205829, 390558972, 1353143
390683314, 392144115, 1460801
392273257, 393617257, 1344000
393740343, 395256686, 1516343
395383086, 396749371, 1366285
396871314, 398369829, 1498515
398496000, 399823543, 1327543
399947086, 401428115, 1481029
401555086, 402915886, 1360800
403189372, 404546057, 1356685
404670172, 405987886, 1317714
406262286, 407601943, 1339657
407725714, 409243658, 1517944
409369143, 410744343, 1375200
410866057, 412355772, 1489715
412482057, 413802171, 1320114
413924686, 415420800, 1496114
415547314, 416928000, 1380686
417208115, 418609257, 1401142
418732000, 420253486, 1521486
420379543, 421735543, 1356000
421857714, 423341715, 1484001
423467886, 424799314, 1331428
424923657, 426423543, 1499886
426550286, 427865257, 1314971
427988571, 429496115, 1507544
429624914, 430946857, 1321943
431225715, 432628572, 1402857
432751771, 434270057, 1518286
434396229, 435781486, 1385257
435904571, 437413715, 1509144
437540457, 438918629, 1378172
439203429, 440550286, 1346857
440674172, 441985600, 1311428
442256343, 443603657, 1347314
443725943, 445247658, 1521715
445373486, 446753600, 1380114
446876914, 448365029, 1488115
448491543, 449818057, 1326514
449941486, 451417372, 1475886
451543886, 452872000, 1328114
452993371, 454478629, 1485258
454603657, 455928914, 1325257
456211543, 457618743, 1407200
