
Start_ns, stop_ns,  spent_ns
652461604, 654162973, 1701369
654293715, 655675085, 1381370
655793942, 657294971, 1501029
657420114, 658787999, 1367885
658909485, 660408457, 1498972
660534399, 661852571, 1318172
661974742, 663461257, 1486515
663585371, 664912342, 1326971
665194742, 666549028, 1354286
666672228, 667982514, 1310286
668250514, 669601028, 1350514
669720571, 671244914, 1524343
671368571, 672792571, 1424000
672913714, 674410628, 1496914
674535085, 675855542, 1320457
675976456, 677471885, 1495429
677595657, 678897256, 1301599
679168799, 680575199, 1406400
680697371, 682019885, 1322514
682290742, 683648685, 1357943
683768685, 685280114, 1511429
685404571, 686781028, 1376457
686902171, 688416114, 1513943
688541028, 689860456, 1319428
689981485, 691468457, 1486972
691592228, 692885599, 1293371
693172799, 694585942, 1413143
694708571, 696228685, 1520114
696352914, 697782742, 1429828
697903885, 699409485, 1505600
699534628, 700843542, 1308914
700964456, 702453257, 1488801
702578285, 703906399, 1328114
704185942, 705531428, 1345486
705654971, 706974971, 1320000
707247657, 708651085, 1403428
708771771, 710288914, 1517143
710413028, 711777599, 1364571
711901942, 713408114, 1506172
713531999, 714859999, 1328000
714980799, 716473371, 1492572
716596914, 717970514, 1373600
718244114, 719649942, 1405828
719769599, 721280571, 1510972
721404914, 722778056, 1373142
722899885, 724398857, 1498972
724523199, 725836685, 1313486
725957142, 727432799, 1475657
727557257, 728893599, 1336342
729013942, 730513257, 1499315
730637485, 731982856, 1345371
732261828, 733667314, 1405486
733785828, 735287885, 1502057
735411314, 736793714, 1382400
736915428, 738413371, 1497943
738538057, 739843771, 1305714
739963771, 741491771, 1528000
741615314, 742921485, 1306171
743197714, 744602628, 1404914
744722514, 746187199, 1464685
746313142, 747679657, 1366515
747798056, 749299885, 1501829
749423199, 750792799, 1369600
750913828, 752420114, 1506286
752544571, 753881714, 1337143
754002742, 755497599, 1494857
755620457, 756997942, 1377485
757267657, 758727771, 1460114
758849142, 760342742, 1493600
760468228, 761843542, 1375314
761965942, 763453828, 1487886
763578971, 764906171, 1327200
765186971, 766542514, 1355543
766666056, 767971771, 1305715
768238399, 769588571, 1350172
769708799, 771186057, 1477258
771311085, 772651428, 1340343
772770856, 774286171, 1515315
774409942, 775778514, 1368572
775899314, 777403885, 1504571
777528457, 778839542, 1311085
778959542, 780444685, 1485143
780568914, 781887085, 1318171
782157599, 783502742, 1345143
783626628, 784930056, 1303428
