
Start_ns, stop_ns,  spent_ns
549195048, 550389741, 1194693
550518205, 551561344, 1043139
551686265, 552557738, 871473
552676944, 553838831, 1161887
553972895, 554913282, 940387
555031116, 555868755, 837639
555986246, 556845944, 859698
556965035, 558068055, 1103020
558190345, 559050035, 859690
559169354, 560274197, 1104843
560404259, 561256978, 852719
561375497, 562450755, 1075258
562570076, 563425437, 855361
563544644, 564405149, 860505
564522413, 565362345, 839932
565737566, 566687674, 950108
566806766, 567669098, 862332
567786018, 568642293, 856275
568760699, 569784980, 1024281
569914243, 570796454, 882211
570914402, 571768384, 853982
571887360, 572750599, 863239
572868204, 573904816, 1036612
574029505, 574901072, 871567
575018904, 575872528, 853624
575990703, 576846727, 856024
576964330, 578155569, 1191239
578277402, 579152062, 874660
579270467, 580121812, 851345
580240102, 581078418, 838316
581194423, 582240750, 1046327
582363841, 583227076, 863235
583345252, 584198430, 853178
584317063, 585170469, 853406
585286817, 586309460, 1022643
586432546, 587279295, 846749
587394724, 588245129, 850405
588363530, 589208336, 844806
589324908, 590615764, 1290856
590737935, 591603876, 865941
591722162, 592584903, 862741
592702503, 593718958, 1016455
593847871, 594754951, 907080
594872550, 595727631, 855081
595845687, 596691282, 845595
596807395, 597821675, 1014280
597949445, 598830811, 881366
598949782, 599790805, 841023
599907604, 600760627, 853023
600879484, 602065192, 1185708
602193306, 603062674, 869368
603181531, 604037413, 855882
604155355, 605007351, 851996
605127351, 606187691, 1060340
606309062, 607153860, 844798
607271003, 608115573, 844570
608232944, 609091913, 858969
609209970, 610233170, 1023200
610354313, 611215456, 861143
611334313, 612190199, 855886
612308942, 613170428, 861486
613288599, 614493172, 1204573
614616601, 615483459, 866858
615601402, 616447003, 845601
616565631, 617432032, 866401
617694319, 618615805, 921486
618734548, 619595349, 860801
619714092, 620563808, 849716
620682208, 621685067, 1002859
621811924, 622723124, 911200
622841181, 623701867, 860686
623820038, 624674667, 854629
624792953, 625956839, 1163886
626088724, 626996153, 907429
627113638, 627958095, 844457
628073295, 628924495, 851200
629043124, 630100381, 1057257
630221753, 631078209, 856456
631197067, 632059466, 862399
632177066, 633031923, 854857
633150666, 634203237, 1052571
634325523, 635169409, 843886
635286209, 636128951, 842742
636245294, 637094665, 849371
637213636, 638416837, 1203201
638538894, 639404608, 865714
639524722, 640385293, 860571
640503465, 641351007, 847542
641607807, 642528607, 920800
642649407, 643497292, 847885
643616378, 644466092, 849714
644583349, 645576835, 993486
645703235, 646577178, 873943
646707806, 647573749, 865943
647692949, 648502892, 809943
648632149, 649756835, 1124686
649888835, 650833178, 944343
650950778, 651798778, 848000
651916149, 652776149, 860000
652894435, 653930779, 1036344
654055465, 654925065, 869600
655043922, 655896493, 852571
656014779, 656861750, 846971
656978207, 658016607, 1038400
658137407, 659007350, 869943
659125636, 659983121, 857485
660102436, 660960607, 858171
661078093, 662276607, 1198514
662399693, 663256150, 856457
663371922, 664225064, 853142
664344493, 665204493, 860000
