
Start_ns, stop_ns,  spent_ns
362016869, 363778301, 1761432
363908803, 365567278, 1658475
365695266, 368393655, 2698389
368520729, 369854671, 1333942
369976260, 371432710, 1456450
371557729, 372880591, 1322862
372999895, 374477148, 1477253
374603309, 375906978, 1303669
376026397, 377555537, 1529140
377679757, 380212026, 2532269
380340588, 381720946, 1380358
381841623, 383315349, 1473726
383440026, 384793762, 1353736
384914440, 386383942, 1469502
386509305, 387814222, 1304917
387933982, 389420780, 1486798
389545793, 391994646, 2448853
392272101, 393668405, 1396304
393788163, 395265950, 1477787
395390052, 396794939, 1404887
396915385, 398389302, 1473917
398515005, 399823915, 1308910
399944818, 400837425, 892607
400955243, 402815090, 1859847
402938965, 404767737, 1828772
404890699, 406369789, 1479090
406496637, 407862940, 1366303
407984645, 409489116, 1504471
409615165, 410972563, 1357398
411245689, 412631090, 1385401
412754054, 414947644, 2193590
415222944, 416564131, 1341187
416692010, 417977431, 1285421
418255818, 419638265, 1382447
419769345, 421273276, 1503931
421399899, 422791267, 1391368
422913662, 424391660, 1477998
424519654, 426810196, 2290542
426932248, 428417567, 1485319
428543277, 429846775, 1303498
429970656, 431435060, 1464404
431562139, 432863553, 1301414
432985146, 434450892, 1465746
434577056, 435864530, 1287474
435985781, 438516638, 2530857
438644176, 439993491, 1349315
440268452, 441603377, 1334925
441728630, 443212354, 1483724
443337036, 444733795, 1396759
444855621, 446318667, 1463046
446444150, 448966265, 2522115
449254602, 450670346, 1415744
450791143, 452274201, 1483058
452399226, 453755989, 1356763
453877357, 455334575, 1457218
455459715, 456848713, 1388998
456970082, 458430285, 1460203
458556340, 460795738, 2239398
460931051, 462445205, 1514154
462571717, 463871584, 1299867
463991925, 465478424, 1486499
465604251, 466906530, 1302279
467175557, 468506749, 1331192
468632119, 469914285, 1282166
470192342, 472628799, 2436457
472752456, 474260457, 1508001
474386628, 475750285, 1363657
475871885, 477337142, 1465257
477463657, 478816342, 1352685
478937828, 480439085, 1501257
480569257, 481903542, 1334285
482952228, 484450857, 1498629
484577599, 485920799, 1343200
486194628, 487572685, 1378057
487700228, 489051542, 1351314
489318742, 490696456, 1377714
490821028, 492313485, 1492457
492439542, 494727314, 2287772
494848914, 496322057, 1473143
496446742, 497801828, 1355086
497922628, 499394971, 1472343
499520914, 500840685, 1319771
500962399, 502432114, 1469715
502558514, 503865828, 1307314
503986742, 506571542, 2584800
506699771, 508005599, 1305828
508284571, 509622514, 1337943
509744571, 511177028, 1432457
511304457, 512643542, 1339085
512765485, 514216114, 1450629
514341257, 515670856, 1329599
515792685, 518388457, 2595772
518516228, 519858856, 1342628
519981599, 521500342, 1518743
521626399, 522979771, 1353372
523256685, 524635542, 1378857
524756685, 526246971, 1490286
526372342, 528954742, 2582400
529245028, 530609599, 1364571
530731428, 532175085, 1443657
532302057, 533731999, 1429942
533853714, 535300457, 1446743
535426285, 536801828, 1375543
536922742, 538402514, 1479772
538529599, 540838628, 2309029
540962285, 542442399, 1480114
542569257, 543863999, 1294742
543985256, 545444228, 1458972
545570399, 546862056, 1291657
546983656, 548451657, 1468001
