
Start_ns, stop_ns,  spent_ns
436812856, 437576133, 763277
438518946, 439250912, 731966
439838314, 440536112, 697798
441271395, 441832171, 560776
442591226, 443274627, 683401
443885574, 444658002, 772428
445422431, 445971553, 549122
446727297, 447414016, 686719
448366326, 448921278, 554952
449208924, 449778837, 569913
450547251, 451234410, 687159
451847746, 452547249, 699503
453302409, 453874607, 572198
454646226, 455337964, 691738
455944336, 456648419, 704083
457392274, 457949166, 556892
458720681, 459410256, 689575
460167602, 460741983, 574381
461511444, 462201137, 689693
462809577, 463520643, 711066
464264737, 464833408, 568671
465598533, 466278975, 680442
466885133, 467605917, 720784
468364188, 468923376, 559188
469695134, 470372722, 677588
470973855, 471688923, 715068
472445247, 473002717, 557470
473776411, 474473995, 697584
475227235, 475797280, 570045
476561724, 477256570, 694846
477869246, 478560209, 690963
479305456, 479872192, 566736
480649442, 481357434, 707992
481978225, 482685530, 707305
483436493, 483987229, 550736
484745165, 485426187, 681022
486177038, 486752806, 575768
487516459, 488205599, 689140
488823313, 489527770, 704457
490265371, 490831771, 566400
491596572, 492271543, 674971
492878171, 493594743, 716572
494347086, 494906971, 559885
495668914, 496370629, 701715
496982857, 497693829, 710972
498449943, 498998514, 548571
499763657, 500444800, 681143
501193486, 501758514, 565028
502533600, 503228572, 694972
503838629, 504519886, 681257
505267315, 505841714, 574399
506620114, 507300915, 680801
507907314, 508608800, 701486
509355315, 509918400, 563085
510692572, 511371772, 679200
511973257, 512683314, 710057
513430172, 513980571, 550399
514748686, 515451543, 702857
516210172, 516794171, 583999
517555086, 518250400, 695314
518871543, 519578743, 707200
520331772, 520895657, 563885
521668457, 522348343, 679886
522953371, 523654629, 701258
524404915, 524956114, 551199
525714172, 526406743, 692571
527009257, 527726172, 716915
528493486, 529180229, 686743
529801829, 530490400, 688571
531235886, 531801943, 566057
532573257, 533250058, 676801
533858400, 534560572, 702172
535308343, 535888457, 580114
536656914, 537353257, 696343
537959086, 538666857, 707771
539413486, 539971200, 557714
540736000, 541429943, 693943
542177258, 542748457, 571199
543519657, 544205486, 685829
544824229, 545509143, 684914
